t-SNE Dimension 1,t-SNE Dimension 2
1.1727751,-7.2246776
9.2834635,26.811049
-1.3883061,-4.6252394
-8.565969,17.428349
-0.56909436,-4.6683517
-3.323824,-5.42484
-0.4991672,-4.6571956
-22.186056,17.091589
-22.598583,-0.37434465
-21.98068,-0.95310295
-15.994178,-15.656432
-24.19099,17.583458
-18.607794,24.275263
-3.7904024,-29.928848
-5.883583,28.14501
11.965652,27.915272
-8.592076,14.495253
-12.396938,3.32669
-4.18274,-6.3336916
-21.559816,16.534689
-1.6253964,-9.573975
-21.641754,15.635625
-0.4094992,-10.617419
-9.707349,13.79118
-8.017306,18.065355
0.027955785,-6.00008
-1.8643104,-8.69118
-0.7744942,-10.93561
-0.63165975,-9.631096
11.372867,-29.450407
9.080516,16.973854
8.722088,-26.272831
13.638601,18.720549
13.370523,19.224932
5.1645775,-10.114578
9.737311,15.969734
7.470664,4.9805574
8.271949,15.882121
8.157004,1.3641324
8.445314,3.3220847
5.989514,0.15563446
8.186109,5.1250267
6.3755646,-9.746078
9.624336,0.88092446
9.251205,-13.256102
7.5534906,14.121604
4.2917576,-10.661644
8.961538,3.363316
8.206381,16.417477
11.117512,-28.66683
8.391869,-7.927421
14.948998,23.64896
3.8329206,-15.524698
0.5359665,-15.189716
10.636381,-21.604677
16.50948,25.117466
5.3833365,10.197629
13.109808,7.827936
7.6475115,11.097348
0.92573774,13.478834
7.317076,9.821259
13.448855,14.304128
10.833637,-8.011778
9.413221,5.8493943
12.120946,-15.785272
9.850409,-4.8696423
14.268548,5.97041
8.812388,-20.263138
9.07262,3.0232913
7.946631,11.715138
15.025827,20.04296
8.940295,-13.6564
6.489664,-9.398064
6.043714,-2.7229044
7.036473,19.36294
4.1179957,20.422848
-5.8170004,-2.2728927
-4.5326233,-8.676463
-12.714233,6.0953717
-11.61893,17.561184
-17.153889,-0.65679353
-14.366099,2.1016796
-20.440956,15.719495
-8.259008,20.248228
-15.226966,19.792702
-18.011091,-11.409876
-7.4833198,-15.968055
-4.7726455,27.583801
-15.602462,-17.400354
-4.404413,26.176493
-21.720108,10.745883
-25.662941,9.230098
-26.179869,8.563016
-17.622425,22.520685
-20.984238,-10.502368
-18.155426,21.57246
-19.384594,-5.986307
-22.431635,12.266482
-17.357832,21.594799
-5.1287622,26.800468
-17.03686,-7.720045
-11.586489,-26.974714
9.1536665,-30.35962
6.2964163,26.368608
5.9529757,19.217972
-4.757063,-9.674264
-6.136158,-19.750523
-10.131882,-13.181469
-7.3608255,19.141596
-6.8749933,-2.2705379
-5.36678,16.92791
-10.141189,-13.125976
-17.759901,13.379477
-18.158941,14.224849
-16.96256,0.39707324
-21.33483,15.516171
-18.896671,-1.9930656
-18.791119,-5.34685
-9.709648,19.818161
-16.54218,-14.200344
-20.622995,10.905854
-22.780499,-9.142557
-25.926226,-5.584178
-29.292486,7.2770176
-28.801321,-6.237986
-27.614674,7.2381687
-16.472748,-23.85727
-27.237629,-9.077828
-4.859431,-30.729042
-2.2969043,29.935812
-29.087635,-2.9230862
-32.147354,-3.8197913
-22.083939,22.694183
-20.023586,23.441996
-26.909826,-7.513848
-29.89242,-3.6687863
-27.370419,9.549117
-20.587435,23.211533
-28.485563,-2.3853364
-26.715101,-8.627931
-26.435322,-0.1679863
-17.873991,-21.493965
-3.4477432,29.780535
-28.100992,8.951702
-18.464111,-20.85436
-25.62926,-1.9811782
-25.197405,-2.5445285
-25.183685,-9.701016
-5.3312445,-31.223612
-2.95804,29.90242
-5.466828,30.722935
-27.205667,-6.99755
-18.619427,25.287079
-27.101553,11.943224
-25.059298,-2.5823362
-31.714231,-3.5107942
-22.068176,21.854101
-27.378609,-4.6808786
-23.09811,-3.250071
-21.894459,21.557604
-19.661486,-20.768497
-22.988224,18.96642
-22.723902,18.293116
-22.79165,-3.250991
-22.300901,17.634638
-22.226294,19.834856
-22.619375,-2.6749368
-24.168854,-1.3003523
-24.915133,-1.1442174
-21.603941,-10.530265
-14.846207,-24.283499
-25.956055,-6.9177904
-20.175362,24.432772
-24.937233,13.992449
-24.674782,13.671682
-24.80565,16.551966
-17.811344,-20.129433
-6.0985737,29.190063
-26.509468,-6.4813414
-27.78806,6.3437266
-26.563976,-1.9740952
-20.747185,23.64845
-29.650724,-5.4430604
-15.769795,-24.298157
-26.233707,-0.97847044
-33.0043,-4.261699
-16.678375,-23.455883
-27.079224,10.80636
-18.292793,-20.256859
-6.514171,29.391691
-30.10664,-4.5584717
-16.69893,-22.24374
-7.633407,-28.254747
-30.168114,-5.073841
-5.626993,29.354023
-4.663426,29.608269
-27.649197,8.618732
-22.633438,14.71366
-5.8542967,-26.232534
-25.141489,-0.4016424
-3.9273903,-30.059662
-4.7920613,28.7653
-2.9353602,-16.660625
-6.4597616,24.881039
-23.926802,-0.4950109
-6.396351,24.895773
-5.3145494,-7.175252
-15.66009,-16.01399
-20.980816,-2.266397
-20.53674,1.3160057
5.075736,26.348303
-15.515031,14.763267
-16.105207,9.79153
-11.941943,19.64679
-16.518665,21.597319
-13.653746,5.070009
-17.890757,-0.20835197
-18.904028,10.446228
-22.012177,-4.6623173
-2.6725116,-28.46239
-6.4236417,23.850943
-14.041528,4.17045
-23.471857,16.24072
-19.541695,1.5800827
-14.534922,17.410265
-13.057256,7.142207
-19.914276,16.966753
-16.120157,11.029761
-15.65967,0.7269459
-3.1256583,-18.971966
-16.78204,11.545432
-9.774044,18.789995
-15.79105,-1.6853147
-12.689943,6.4223275
-8.732919,-10.096488
-11.415016,-11.559133
-11.134186,-14.225796
-18.072056,16.940313
-18.049267,17.731419
-16.011415,3.7983396
6.794811,-29.042364
-7.5289145,18.914007
10.867234,-31.938543
-1.881747,-23.596142
13.437614,26.522364
7.254703,-15.108086
9.043238,26.004463
8.947132,21.4831
3.5901139,2.7518833
3.777787,-15.75025
4.8000093,4.664882
8.049457,-13.5864315
3.3150673,-15.684205
9.6296215,19.14664
8.768571,-15.469583
3.5918915,-26.160364
8.404987,-23.126747
13.129112,21.001099
6.400361,4.943396
7.803377,5.314369
11.125127,18.222424
9.197723,0.8255331
-6.2585034,2.6407206
-8.165515,-8.31352
-15.023315,-1.7914809
-2.3866649,-12.877496
-19.840084,17.953287
-4.066972,-22.750532
-18.523455,13.822696
-1.3521836,-15.804893
-8.921815,-11.066226
-1.4567606,18.266895
-8.40644,1.2341636
-1.2977571,-16.019718
-5.3950453,-10.572613
-3.8687887,-25.615868
-6.143016,-18.50965
-2.3934495,-24.803514
-3.3919716,-23.676565
-4.3144603,16.667645
0.14815578,-16.136856
-4.578428,-13.824117
-2.3843434,-19.24496
10.564261,20.648499
16.204334,18.362701
10.591702,7.207646
13.403877,12.241386
11.761639,-21.647392
6.6995883,-6.269674
12.794603,1.8773599
11.62516,11.856445
15.869898,18.005707
11.768584,-25.976181
12.109923,-21.503494
13.55028,-9.182966
16.779202,16.759369
13.297365,3.3233023
12.160347,-22.384304
13.5856695,-3.642861
14.162697,-16.224398
11.809974,-24.988476
15.638853,14.710685
18.630508,24.883768
14.474335,-10.23666
9.943834,-24.248938
17.910275,22.04086
12.3378105,-13.615733
11.550633,-13.91357
15.942949,-28.32918
19.625166,-19.317959
19.864975,18.390759
17.07274,-12.231879
16.472477,-16.795115
14.247314,-13.384333
19.49396,19.66979
19.764914,17.80175
19.148388,12.112423
18.874699,9.913329
17.771048,-11.817235
18.894535,8.926576
16.24433,-17.603184
18.397621,12.075184
7.9617743,9.722439
14.78806,6.0576534
14.882627,17.528149
13.212058,-15.003988
11.009082,-24.14829
7.859196,7.695337
7.0061316,-2.9404361
7.9149537,-17.990469
8.985346,-16.748972
-4.7197027,3.3353822
2.2548432,8.5339575
1.4768902,-22.146553
-5.993494,-9.633957
-1.5088152,18.811535
-1.280558,-16.947647
-4.62493,-11.952562
8.036473,22.29571
0.14230293,10.582101
-1.8975241,-22.493992
11.523143,-30.600307
6.2158585,-1.4229432
10.621091,-29.561468
11.557468,3.568679
15.780536,18.697313
13.630225,-30.280867
14.913383,-1.4241458
14.842918,9.617329
18.760582,22.918104
14.83158,-28.907545
16.186039,-15.170785
15.57452,-28.167719
21.395943,4.7033763
16.837788,-15.419013
19.341366,6.983641
20.928532,18.43971
18.409006,-13.529266
20.9338,17.12504
15.525803,-30.457964
21.096989,5.2355075
20.207117,5.6883683
21.16262,11.459387
19.779032,-13.31485
21.24406,9.99003
20.930712,17.625538
20.890835,19.255478
18.61309,-16.356644
18.313488,-16.182495
20.649775,18.375837
17.201502,-16.585136
18.119387,4.7135806
16.162539,10.55244
13.206045,-24.714827
13.302222,-26.291525
15.331407,-27.934881
15.162313,-30.232285
19.405638,-17.819986
18.693178,10.528995
15.820813,-28.983948
18.994377,7.6913366
20.374315,14.225106
18.29967,-1.8164355
15.430149,7.0084305
19.847673,22.764666
17.690176,-10.973618
16.031874,-18.266424
18.283978,-2.3899493
15.051898,-13.060823
19.926146,13.253938
13.953867,-6.2016807
18.305305,-1.5904791
18.131676,15.652911
15.933599,-11.416291
14.502493,-14.201543
16.542965,-12.948831
12.179393,-7.67236
11.095402,-7.318636
15.126638,22.01517
7.623773,-10.2276535
17.347404,22.981354
0.4456971,13.398542
12.374844,13.838819
9.765525,-15.254912
2.6690614,8.867029
7.3822684,-17.051605
16.490917,19.253887
10.675385,20.06379
10.872263,12.298018
10.527111,-3.3846233
4.379399,-19.826548
12.525056,14.928754
8.803208,-3.4218426
12.111067,2.8509266
11.306903,2.969335
10.6303835,-16.02479
16.20052,19.557842
10.578887,5.5930443
11.779439,19.563812
-4.1377115,2.4064896
-0.55176914,7.160012
-0.089623295,-20.31196
-3.8306868,7.147507
-1.1659632,-22.034073
10.102404,-28.987755
6.142983,-8.283599
-5.161968,6.1274123
6.389645,21.641544
12.519966,-30.531967
0.26130068,-18.962671
1.2081378,-26.097326
1.9336894,-19.384123
-5.351828,0.9046705
-4.1453385,-14.363447
-9.252837,-8.081932
15.471553,25.279915
-2.4529846,17.78846
6.3326025,21.055187
0.39046606,21.488573
13.450983,-31.04179
10.2024555,-1.4903226
4.3991656,-21.591673
8.299789,-22.114883
10.471846,11.19847
10.143873,-26.104078
9.590737,-25.462545
10.0477705,-22.274366
7.8454323,-25.658823
3.6660285,-27.135899
8.049327,-9.740226
15.312054,23.419855
10.602107,-26.870478
5.36907,-22.349451
18.55746,23.684322
19.474388,23.143595
11.132622,-10.319298
18.458292,-20.237274
13.363914,-28.223602
13.557426,-14.178163
12.251106,-14.671771
10.567535,-10.522701
17.681633,24.806425
12.788726,-27.87305
19.355848,21.158604
19.673424,13.454808
17.206497,-18.13607
17.973896,-19.3437
18.600277,21.726606
19.294102,12.689776
19.559086,20.080816
17.87985,-10.06706
17.942425,-10.334055
20.175234,21.209703
16.574982,-12.436737
17.305569,4.0805864
14.24755,-27.625313
17.282099,-13.573977
19.125446,15.229137
18.505537,9.081158
18.001467,8.005643
14.23152,-24.547123
21.58201,22.846565
22.153326,9.547325
18.830996,-15.876277
20.51326,9.188321
19.406717,-13.886522
18.612291,-15.033902
21.001156,7.783582
19.807013,3.0824664
20.669384,10.497835
19.510447,6.3729353
19.144146,3.8397188
14.196505,-24.269062
18.212389,3.7247386
21.060806,20.230179
18.811787,5.810668
17.551924,2.5596898
13.65491,-25.095438
15.707331,-16.005747
17.569176,2.0844526
17.228682,8.721939
2.5460694,-20.041162
5.765601,24.26614
-3.9668653,17.65316
0.7960682,-19.570734
9.999071,-30.011482
1.2674668,-24.862099
0.35867903,-20.543604
-8.152355,-0.44232053
5.870863,23.825571
-1.083057,-21.430511
-0.9641037,9.09042
-8.914169,-2.4870784
0.06466574,-26.537424
7.6158304,22.21669
-5.7321415,-12.9067
-12.1412525,-6.939235
5.3044844,22.637697
1.5680073,-23.781134
15.654821,25.340946
5.2523813,-4.0314054
-3.0686462,17.453522
4.825589,21.552433
-3.9373205,8.60627
-3.211746,4.2440467
-11.291692,-10.746649
0.75131834,-28.869465
-0.6012024,-24.204132
7.9358835,21.864897
-0.50445765,17.19582
-8.387633,-3.16066
-7.840159,-1.1581478
-2.3105931,17.441843
-2.9980593,3.6966784
-1.0058296,-20.733215
7.251718,23.492264
0.59243834,16.022007
0.40385517,15.867122
2.2469654,-22.238844
-0.529749,-19.522984
-1.5114704,16.904713
2.0414512,-21.406612
3.262028,-20.989294
0.8641195,8.795349
11.802519,15.585362
6.2016215,-5.9977584
-3.9751825,5.9526415
0.6195806,-21.322067
-4.676374,-0.28154546
9.917397,-29.218655
9.467239,-1.8983808
-3.1044261,6.18309
1.346059,-21.061523
-2.614241,5.181179
5.6037116,-5.8170047
5.6240444,-7.6983223
2.022015,20.335428
4.392986,23.137638
-10.091919,-6.7367144
-0.59362423,-28.703697
-15.678486,5.3052
6.042055,-30.177204
7.218717,-30.32045
-6.257201,-16.246716
6.3269095,22.662249
-5.6968007,-16.590439
6.9582143,20.719328
4.981085,-27.993273
8.660966,25.907972
6.7719665,17.17595
8.24955,-28.676888
2.3749354,-4.7394595
5.6541224,7.926349
1.585775,4.2340703
1.1799059,1.954969
10.967954,23.80636
3.845951,3.276445
10.921329,23.17186
